Flight_Time_s,T_Climb_s,T_Hover_s,T_Dash_s,T_Loiter_s,T_Fig8_s,T_Land_s,Payload_kg,Wind_ms,Cruise_Alt_m,Avg_Speed_ms,SOC_Start,SOC_End,Battery_Consumed_Pct
3145,98,1965,231,395,392,64,7.387647591,4,93,3.607961887,100,0.01,99.99
3122,91,1934,336,352,349,60,2.422261201,9,92,4.70090179,100,55.87730212,44.12269788
2342,82,1317,390,206,288,59,2.612713471,14,86,3.152444368,100,65.7755807,34.2244193
2587,56,1680,331,232,223,65,6.668799357,5,91,3.523427789,100,20.43491262,79.56508738
2873,94,1960,309,227,230,53,3.712507223,11,99,2.79960689,100,46.73805466,53.26194534
2571,77,1473,270,366,317,68,3.152834163,15,94,4.173807711,100,57.54539817,42.45460183
2841,72,1779,387,226,314,63,3.357953622,14,97,4.054898815,100,50.83490296,49.16509704
2732,56,1654,338,350,290,44,3.691297189,4,60,4.170697544,100,49.44539689,50.55460311
3011,46,1962,200,355,364,84,7.43669285,4,69,3.98354214,100,0.01,99.99
2231,48,1136,374,316,310,47,4.098587219,6,63,5.825963917,100,55.41275904,44.58724096
2252,51,1240,283,209,381,88,5.543358355,7,94,3.88259289,100,42.19780331,57.80219669
2380,54,1404,219,226,389,88,4.68014215,7,80,3.759577294,100,47.04385824,52.95614176
2795,79,1732,330,290,309,55,1.888567029,5,83,3.472239796,100,65.66162616,34.33837384
2800,96,1776,297,287,289,55,2.728207598,13,90,3.211983514,100,57.87116324,42.12883676
3080,61,1939,376,310,325,69,4.820015167,15,80,4.045671584,100,29.53566634,70.46433366
2471,53,1436,262,385,286,49,3.458101147,10,68,4.024408001,100,56.47633034,43.52366966
2569,76,1711,244,223,259,56,7.868364459,9,97,2.66607618,100,4.737781366,95.26221863
2647,69,1579,247,292,393,67,4.80107885,3,77,3.48704605,100,39.93515432,60.06484568
2943,42,1886,383,360,219,53,3.005363514,10,81,3.913422013,100,52.86461951,47.13538049
3023,83,1904,379,267,340,50,5.918231684,4,73,3.838743345,100,16.87403616,83.12596384
2569,89,1577,236,248,378,41,6.336482692,10,61,4.114443898,100,25.14298982,74.85701018
2081,42,1071,304,219,364,81,2.591526447,18,80,5.108765514,100,69.68046183,30.31953817
2627,66,1826,216,226,234,59,2.474125376,13,89,3.294411786,100,62.61654341,37.38345659
2367,57,1432,203,397,233,45,6.721868545,3,94,3.743666276,100,26.93048108,73.06951892
2551,56,1423,310,389,283,90,2.787769617,10,75,4.881324709,100,60.87220299,39.12779701
2240,100,1171,206,312,377,74,6.057141913,13,72,4.82975222,100,37.6817063,62.3182937
2368,51,1428,296,224,318,51,3.897957549,9,67,4.654663478,100,54.32793556,45.67206444
2432,84,1344,317,221,382,84,5.289411488,6,75,3.890626986,100,40.12614286,59.87385714
2187,65,1094,320,294,339,75,3.194731994,12,93,4.026939564,100,63.62772299,36.37227701
